question,answer
How long does it take to prepare Kootu?,10 minutes
What is the preparation time for Kootu?,10 minutes
How many minutes does it take to prepare Kootu?,10 minutes
How long does it take to cook Kootu?,15 minutes
What is the cooking time for Kootu?,15 minutes
How many minutes does it take to cook Kootu?,15 minutes
What is the origin of Kootu?,Tamil Nadu
In which state was Kootu created?,Tamil Nadu
Which state does Kootu belong to?,Tamil Nadu
In which region is Kootu prepared?,South
What region does Kootu belong to?,South
In which region is Kootu popular?,South
What is the flavor profile of Kootu?,spicy
How does Kootu taste?,spicy
What flavor does Kootu have?,spicy
What is the food category of Kootu?,main course
In which course is Kootu typically served?,main course
Is Kootu a main dish or a side dish?,main course
What ingredients are needed to prepare Kos kootu?,"Moong dal, chana dal, cabbage, tamarind, curry leaves"
What are the required ingredients to make Kos kootu?,"Moong dal, chana dal, cabbage, tamarind, curry leaves"
What is Kos kootu made of?,"Moong dal, chana dal, cabbage, tamarind, curry leaves"
What is the dietary type of Kos kootu?,vegetarian
Is Kos kootu vegetarian or non-vegetarian?,vegetarian
What diet category does Kos kootu belong to?,vegetarian
How long does it take to prepare Kos kootu?,10 minutes
What is the preparation time for Kos kootu?,10 minutes
How many minutes does it take to prepare Kos kootu?,10 minutes
How long does it take to cook Kos kootu?,20 minutes
What is the cooking time for Kos kootu?,20 minutes
How many minutes does it take to cook Kos kootu?,20 minutes
What is the origin of Kos kootu?,Tamil Nadu
In which state was Kos kootu created?,Tamil Nadu
Which state does Kos kootu belong to?,Tamil Nadu
In which region is Kos kootu prepared?,South
What region does Kos kootu belong to?,South
In which region is Kos kootu popular?,South
What is the flavor profile of Kos kootu?,spicy
How does Kos kootu taste?,spicy
What flavor does Kos kootu have?,spicy
What is the food category of Kos kootu?,main course
In which course is Kos kootu typically served?,main course
Is Kos kootu a main dish or a side dish?,main course
What ingredients are needed to prepare Koshambri?,"Moong dal, cucumber, curry leaves, green chili, lemon juice"
What are the required ingredients to make Koshambri?,"Moong dal, cucumber, curry leaves, green chili, lemon juice"
What is Koshambri made of?,"Moong dal, cucumber, curry leaves, green chili, lemon juice"
What is the dietary type of Koshambri?,vegetarian
Is Koshambri vegetarian or non-vegetarian?,vegetarian
What diet category does Koshambri belong to?,vegetarian
How long does it take to prepare Koshambri?,10 minutes
What is the preparation time for Koshambri?,10 minutes
How many minutes does it take to prepare Koshambri?,10 minutes
How long does it take to cook Koshambri?,20 minutes
What is the cooking time for Koshambri?,20 minutes
How many minutes does it take to cook Koshambri?,20 minutes
What is the origin of Koshambri?,Karnataka
In which state was Koshambri created?,Karnataka
Which state does Koshambri belong to?,Karnataka
In which region is Koshambri prepared?,South
What region does Koshambri belong to?,South
In which region is Koshambri popular?,South
What is the flavor profile of Koshambri?,spicy
How does Koshambri taste?,spicy
What flavor does Koshambri have?,spicy
What is the food category of Koshambri?,main course
In which course is Koshambri typically served?,main course
Is Koshambri a main dish or a side dish?,main course
What ingredients are needed to prepare Kothamali sadam?,"Chana dal, urad dal, gooseberry, raw rice, curry leaves"
What are the required ingredients to make Kothamali sadam?,"Chana dal, urad dal, gooseberry, raw rice, curry leaves"
What is Kothamali sadam made of?,"Chana dal, urad dal, gooseberry, raw rice, curry leaves"
What is the dietary type of Kothamali sadam?,vegetarian
Is Kothamali sadam vegetarian or non-vegetarian?,vegetarian
What diet category does Kothamali sadam belong to?,vegetarian
How long does it take to prepare Kothamali sadam?,10 minutes
What is the preparation time for Kothamali sadam?,10 minutes
How many minutes does it take to prepare Kothamali sadam?,10 minutes
How long does it take to cook Kothamali sadam?,20 minutes
What is the cooking time for Kothamali sadam?,20 minutes
How many minutes does it take to cook Kothamali sadam?,20 minutes
What is the origin of Kothamali sadam?,Tamil Nadu
In which state was Kothamali sadam created?,Tamil Nadu
Which state does Kothamali sadam belong to?,Tamil Nadu
In which region is Kothamali sadam prepared?,South
What region does Kothamali sadam belong to?,South
In which region is Kothamali sadam popular?,South
What is the flavor profile of Kothamali sadam?,spicy
How does Kothamali sadam taste?,spicy
What flavor does Kothamali sadam have?,spicy
What is the food category of Kothamali sadam?,main course
In which course is Kothamali sadam typically served?,main course
Is Kothamali sadam a main dish or a side dish?,main course
What ingredients are needed to prepare Kuzhakkattai?,"Sesame oil, raw rice, jaggery, grated coconut"
What are the required ingredients to make Kuzhakkattai?,"Sesame oil, raw rice, jaggery, grated coconut"
What is Kuzhakkattai made of?,"Sesame oil, raw rice, jaggery, grated coconut"
What is the dietary type of Kuzhakkattai?,vegetarian
Is Kuzhakkattai vegetarian or non-vegetarian?,vegetarian
What diet category does Kuzhakkattai belong to?,vegetarian
How long does it take to prepare Kuzhakkattai?,10 minutes
What is the preparation time for Kuzhakkattai?,10 minutes
How many minutes does it take to prepare Kuzhakkattai?,10 minutes
How long does it take to cook Kuzhakkattai?,90 minutes
What is the cooking time for Kuzhakkattai?,90 minutes
How many minutes does it take to cook Kuzhakkattai?,90 minutes
What is the origin of Kuzhakkattai?,Tamil Nadu
In which state was Kuzhakkattai created?,Tamil Nadu
Which state does Kuzhakkattai belong to?,Tamil Nadu
In which region is Kuzhakkattai prepared?,South
What region does Kuzhakkattai belong to?,South
In which region is Kuzhakkattai popular?,South
What is the flavor profile of Kuzhakkattai?,spicy
How does Kuzhakkattai taste?,spicy
What flavor does Kuzhakkattai have?,spicy
What is the food category of Kuzhakkattai?,main course
In which course is Kuzhakkattai typically served?,main course
Is Kuzhakkattai a main dish or a side dish?,main course
What ingredients are needed to prepare Kuzhambu?,"Pearl onions, urad dal, drumsticks, tomato, curry leaves"
What are the required ingredients to make Kuzhambu?,"Pearl onions, urad dal, drumsticks, tomato, curry leaves"
What is Kuzhambu made of?,"Pearl onions, urad dal, drumsticks, tomato, curry leaves"
What is the dietary type of Kuzhambu?,vegetarian
Is Kuzhambu vegetarian or non-vegetarian?,vegetarian
What diet category does Kuzhambu belong to?,vegetarian
How long does it take to prepare Kuzhambu?,5 minutes
What is the preparation time for Kuzhambu?,5 minutes
How many minutes does it take to prepare Kuzhambu?,5 minutes
How long does it take to cook Kuzhambu?,30 minutes
What is the cooking time for Kuzhambu?,30 minutes
How many minutes does it take to cook Kuzhambu?,30 minutes
What is the origin of Kuzhambu?,Tamil Nadu
In which state was Kuzhambu created?,Tamil Nadu
Which state does Kuzhambu belong to?,Tamil Nadu
In which region is Kuzhambu prepared?,South
What region does Kuzhambu belong to?,South
In which region is Kuzhambu popular?,South
What is the flavor profile of Kuzhambu?,spicy
How does Kuzhambu taste?,spicy
What flavor does Kuzhambu have?,spicy
What is the food category of Kuzhambu?,main course
In which course is Kuzhambu typically served?,main course
Is Kuzhambu a main dish or a side dish?,main course
What ingredients are needed to prepare Masala Dosa?,"Chana dal, urad dal, potatoes, idli rice, thick poha"
What are the required ingredients to make Masala Dosa?,"Chana dal, urad dal, potatoes, idli rice, thick poha"
What is Masala Dosa made of?,"Chana dal, urad dal, potatoes, idli rice, thick poha"
What is the dietary type of Masala Dosa?,vegetarian
Is Masala Dosa vegetarian or non-vegetarian?,vegetarian
What diet category does Masala Dosa belong to?,vegetarian
How long does it take to prepare Masala Dosa?,360 minutes
What is the preparation time for Masala Dosa?,360 minutes
How many minutes does it take to prepare Masala Dosa?,360 minutes
How long does it take to cook Masala Dosa?,90 minutes
What is the cooking time for Masala Dosa?,90 minutes
How many minutes does it take to cook Masala Dosa?,90 minutes
What is the origin of Masala Dosa?,-1
In which state was Masala Dosa created?,-1
Which state does Masala Dosa belong to?,-1
In which region is Masala Dosa prepared?,South
What region does Masala Dosa belong to?,South
In which region is Masala Dosa popular?,South
What is the flavor profile of Masala Dosa?,spicy
How does Masala Dosa taste?,spicy
What flavor does Masala Dosa have?,spicy
What is the food category of Masala Dosa?,snack
In which course is Masala Dosa typically served?,snack
Is Masala Dosa a main dish or a side dish?,snack
What ingredients are needed to prepare Pachadi?,"Coconut oil, cucumber, curd, curry leaves, mustard seeds"
What are the required ingredients to make Pachadi?,"Coconut oil, cucumber, curd, curry leaves, mustard seeds"
What is Pachadi made of?,"Coconut oil, cucumber, curd, curry leaves, mustard seeds"
What is the dietary type of Pachadi?,vegetarian
Is Pachadi vegetarian or non-vegetarian?,vegetarian
What diet category does Pachadi belong to?,vegetarian
How long does it take to prepare Pachadi?,10 minutes
What is the preparation time for Pachadi?,10 minutes
How many minutes does it take to prepare Pachadi?,10 minutes
How long does it take to cook Pachadi?,25 minutes
What is the cooking time for Pachadi?,25 minutes
How many minutes does it take to cook Pachadi?,25 minutes
What is the origin of Pachadi?,-1
In which state was Pachadi created?,-1
Which state does Pachadi belong to?,-1
In which region is Pachadi prepared?,South
What region does Pachadi belong to?,South
In which region is Pachadi popular?,South
What is the flavor profile of Pachadi?,-1
How does Pachadi taste?,-1
What flavor does Pachadi have?,-1
What is the food category of Pachadi?,main course
In which course is Pachadi typically served?,main course
Is Pachadi a main dish or a side dish?,main course
What ingredients are needed to prepare Paniyaram?,"Yogurt, ginger, curry leaves, baking soda, green chilli"
What are the required ingredients to make Paniyaram?,"Yogurt, ginger, curry leaves, baking soda, green chilli"
What is Paniyaram made of?,"Yogurt, ginger, curry leaves, baking soda, green chilli"
What is the dietary type of Paniyaram?,vegetarian
Is Paniyaram vegetarian or non-vegetarian?,vegetarian
What diet category does Paniyaram belong to?,vegetarian
How long does it take to prepare Paniyaram?,10 minutes
What is the preparation time for Paniyaram?,10 minutes
How many minutes does it take to prepare Paniyaram?,10 minutes
How long does it take to cook Paniyaram?,20 minutes
What is the cooking time for Paniyaram?,20 minutes
How many minutes does it take to cook Paniyaram?,20 minutes
What is the origin of Paniyaram?,Tamil Nadu
In which state was Paniyaram created?,Tamil Nadu
Which state does Paniyaram belong to?,Tamil Nadu
In which region is Paniyaram prepared?,South
What region does Paniyaram belong to?,South
In which region is Paniyaram popular?,South
What is the flavor profile of Paniyaram?,-1
How does Paniyaram taste?,-1
What flavor does Paniyaram have?,-1
What is the food category of Paniyaram?,main course
In which course is Paniyaram typically served?,main course
Is Paniyaram a main dish or a side dish?,main course
What ingredients are needed to prepare Papadum?,"Lentils, black pepper, vegetable oil"
